,city,latitude,longitude,attacktype,targtype,targsubtype,target,weaptype,weapsubtype,gname,Month,Day,Year
996,Unknown,24.663717,93.906269,437,876,101,An Indian Polling Station in Manipur State,371,403,24,4,20,2004
997,Unknown,25.090798,85.311177,1514,1538,447,Civilians in Bihar State,1813,1564,1414,4,20,2004
998,Pulwama,33.871517,74.89955,2036,1538,66,Indian civilians in Pulwama,2121,533,1414,4,21,2004
999,Pulwama,33.871517,74.89955,200,1538,189,"Parliamentary candidate, Ghulam Mohi-u-din and civilians",2121,533,1414,4,21,2004
1000,Srinagar,34.083658,74.797368,1514,876,315,Congress office in Srinagar,2121,533,1414,4,23,2004
1001,Srinagar,34.083658,74.797368,2036,876,315,Electioneering car in Srinagar,2121,674,1414,4,23,2004
1002,Pampore,34.016667,74.918056,2036,786,171,Vehicle,2121,533,1414,4,27,2004
1003,Sopore,34.286763,74.462401,2036,1538,78,"Indiscriminate civilians at crowded market in Sopore, India",2121,533,92,5,10,2004
1004,Chadoora,33.945111,74.797313,2036,313,66,"Indiscriminate civilians near a Border Security Force position in Chadoura, India",2121,674,88,5,21,2004
1005,Woodsa,33.778175,76.576171,2036,313,66,"Border Security Force personnel traveling on a bus near al-Jawahar tunnel in Woodsa, India-controlled Kashmir",2121,265,88,5,23,2004
1006,Srinagar,34.083658,74.797368,2036,786,164,"A police camp in Srinagar, India",2121,533,1414,5,23,2004
1007,Srinagar,34.083658,74.797368,2036,1538,80,"The home of a prominent Kashmir, Maulvi Omar Farooq, in Srinagar, India",2121,533,3,5,29,2004
1008,Poonch,33.767001,74.092404,2036,786,433,Kashmir Police,2121,533,1414,6,3,2004
1009,Jammu,32.726602,74.857026,2036,786,433,Kashmir Police,2121,533,1414,6,5,2004
1010,Tinsukia district,27.491964,95.346713,2036,417,12,Jordanian Civilians at a theater in Assam,2121,61,1414,6,9,2004
1011,Bogund,33.687691,75.050893,1514,1538,447,Kashmiri Civilians near a mosque in Bogund,1813,1564,1414,6,10,2004
1012,Jamaslan,33.286298,74.915031,1514,1538,447,Kashmiri family in Jamsalan,1813,1564,1414,6,10,2004
1013,Pahalgam,34.016075,75.31498,2036,12,8,Kashmiri Civilians,2121,533,1414,6,12,2004
1014,Srinagar,34.083658,74.797368,1514,876,315,"Mohammed Rajab Dar, brother of a local lawmaker",1813,1564,1414,6,15,2004
1015,Ashmuqam,33.863371,75.281447,1514,876,315,Ruling Party Workers,1813,1564,1414,6,16,2004
1016,Baramulla,34.210873,74.344451,2036,786,433,Security Forces,2121,533,1414,6,18,2004
1017,Poonch,33.767001,74.092404,1514,313,77,Indian Troops in Poonch,1813,1564,1414,6,20,2004
1018,Anantnag,33.733336,75.148983,2036,786,164,Civilians in Kashmir,2121,533,1414,6,23,2004
1019,Unknown,23.610181,85.279935,2036,786,171,Indian Police Convoy in Ranchi,2121,265,24,6,23,2004
1020,Guwahati,26.179222,91.753346,2036,368,74,Passengers on a bus in Assam,2121,61,1414,6,24,2004
1021,Poonch,33.767001,74.092404,1514,1538,447,Kashmiri Civilians,1813,1564,1414,6,26,2004
1022,Srinagar,34.083658,74.797368,1514,876,315,Bashir Ahmed,1813,1564,1414,6,28,2004
1023,Baramulla,34.205141,74.349494,1514,1538,447,Civilians in India Kashmir,1813,1564,1414,6,30,2004
1024,Srinagar,34.083658,74.797368,2036,313,86,Convoy in Srinagar,2121,533,1414,6,30,2004
1025,Doda District,33.14575,75.548049,200,876,296,"Lal Singh, an Indian Parliament member",1813,1564,92,7,2,2004
1026,Anantnag,33.733336,75.148983,2036,786,433,Indian Paramilitary Forces in Anantnag,2121,533,92,7,3,2004
1027,Srinagar,34.083658,74.797368,2036,12,8,Civilians,2121,674,92,7,3,2004
1028,Poonch district,33.767001,74.092404,2036,786,164,Indian police station in Punch district,2121,533,92,7,15,2004
1029,Anantnag,33.733336,75.148983,2036,1538,48,Religious pilgrams on their way to Amarnath cave,2121,533,1414,7,15,2004
1030,Bismile,27.494808,95.202166,2036,47,7,A secction of Assam Gas Company pipeline in Bismile,2121,674,238,7,15,2004
1031,Guwahati,26.179222,91.753346,2036,368,29,Civilians at the Machkhowa bus stand in Guwahati,2121,674,238,7,15,2004
1032,Gutrian,33.823889,74.165278,1514,313,77,"Former Indian Border Security Force officer, Abdul Gani and his family",1813,180,1414,7,19,2004
1033,Doru,33.57313,75.223231,2036,1538,189,Civilians attending a speech by Deputy Chief Minister Mangat Ram Sharma,2121,533,1414,7,19,2004
1034,Rajouri,33.371715,74.315313,1514,1538,186,Mohammad Shafi,243,181,100,7,25,2004
1035,Baramulla,34.205141,74.349494,2036,313,77,Indian Border Security Forces at the Baramulla Hospital,2121,533,1414,7,26,2004
1036,Srinagar,34.110586,74.868257,1514,786,433,"Central Reserve Police Force (CRPF) officers at Dal Lake, India",1813,180,14,7,27,2004
1037,Thanamandi,33.538588,74.369286,1514,1538,447,Fazal Hussain,1813,1564,92,8,13,2004
1038,Gauripar,26.090175,89.964447,2036,417,12,Movie theatre in Gauripur,2121,533,238,8,14,2004
1039,Dhemaji,27.47536,94.551234,2036,130,88,Dhemaji College,2121,80,238,8,15,2004
1040,Bhubaneswar,20.296059,85.82454,2036,876,315,Congress Party offices in Orissa,2121,674,1414,8,18,2004
1041,Malachamlan,33.778175,76.576171,1514,1538,186,Ghulam Hussain Gujjar and his family,1813,1564,100,8,18,2004
1042,Dibrugarh,27.477675,94.910721,2036,1538,447,Civilians standing outside of a movie theater in Dibrugarh,2121,533,238,8,25,2004
1043,Gossaigaon,26.439159,89.978278,2036,368,74,Two buses transporting passengers,2121,61,238,8,25,2004
1044,Guwahati,26.182028,91.750687,2036,313,66,Indian Border Security Force personnel and their families traveling on a bus,2121,61,238,8,25,2004
1045,Gossaigaon,26.439159,89.978278,2036,417,23,A refinery belonging to the Indian Oil Corporation,2121,674,238,8,26,2004
1046,Tangla,26.657197,91.912437,2036,1538,447,Civilians in Tangla,2121,533,238,8,26,2004
1047,Purna,19.180658,77.025321,2036,66,35,Civilians,2121,533,92,8,27,2004
1048,Seri,33.2498,75.21073,2036,876,296,Three National Conference members of India? Legislative Assembly in Seri,2121,533,1414,8,27,2004
1049,Jammu,32.726602,74.857026,2036,786,433,Civilians,2121,533,92,8,31,2004
1050,Sheendara,33.778175,76.576171,1514,786,433,"Indian Police in Sheendara, India",1813,1564,1414,9,3,2004
1051,Doda district,33.14575,75.548049,592,1538,447,"Civilians in Goon Dhar, India",382,329,100,9,10,2004
1052,Rajouri,33.371715,74.315313,1514,1538,447,"Civilians in Rajauri, India",382,329,100,9,10,2004
1053,Nallalalam,11.209908,75.81272,1514,66,19,"Four nuns and three brothers belonging to the Missionaries of Charity in Nallalalam, India",1813,1564,4,9,25,2004
1054,Aishmuqam,33.863371,75.281446,592,1538,189,An activist of the People's Democratic Party,1813,1564,1414,10,2,2004
1055,Makri Jhoda,26.200604,92.937574,1514,1538,78,The market in Makri Jhoda was targeted.,1813,180,106,10,2,2004
1056,Dimapur,25.906267,93.72759,2036,368,205,Indian citizens at a railway station,2121,315,238,10,2,2004
1057,Dhekiajuli,26.699431,92.499242,2036,1538,78,The Dhekiajuli market was targeted.,2121,533,238,10,2,2004
1058,Sonitpur district,26.673885,92.857711,2036,47,14,Natural Gas Pipeline,2121,265,238,10,3,2004
1059,Gelapukhuri,26.212746,91.728334,1514,1538,447,Villagers from Gelapukhuri,1813,180,106,10,4,2004
1060,Unknown,26.275268,92.953375,1514,1538,48,Muslim villagers in the Jalabela village square,1813,180,106,10,5,2004
1061,Doda district,33.14575,75.548049,1514,876,315,Opposition leader of the National Congress Party,1813,180,2,10,8,2004
1062,Medinipur district,22.424,87.319,1514,313,66,Four paramilitary soldiers in West Midnapore District,1813,1564,61,10,14,2004
1063,Shopian,33.717003,74.836092,2036,66,35,Indian citizens at the Jama Mosque square,2121,533,1414,11,1,2004
1064,Kangan,34.264018,74.901055,200,876,315,DPP worker Nazir Ahmad Raina,1813,1564,1414,11,3,2004
1065,Sunderbani,33.049293,74.490661,2036,313,63,Indian army camp in Sundervani village,2121,11,1414,11,8,2004
1066,Sopore,34.286763,74.462401,1514,786,164,A Central Reserve Police Force (CRPF) camp,2121,11,14,12,3,2004
1067,Pulwama,33.871517,74.89955,2036,313,18,Jeep containing Indian soldiers,2121,265,88,12,5,2004
1068,Anantnag,33.733336,75.148983,2036,786,433,Police Patrol Unit,2121,533,1414,12,8,2004
1069,Nagaon,26.346371,92.684043,2036,83,221,Unknown,2121,674,238,12,14,2004
1070,Pakharpora,33.814606,74.765418,2036,786,164,Indian Police Camp,2121,533,1414,12,24,2004
1071,Srinagar,34.091083,74.794748,200,876,315,"Farooq Zargar, National Conference party leader",1813,1564,1414,12,29,2004
1072,Anantnag,33.733336,75.148983,200,786,433,"South Kashmir Deputy Inspector General, Ravinder Kotwal",2121,75,1414,1,1,2005
1073,Unknown,33.778175,76.576171,2036,786,164,A Central Reserve Police Force installation in Kashmir,2121,533,1414,1,5,2005
1074,Munger,25.381092,86.464994,2036,786,433,A police van in Munger,2121,80,1414,1,6,2005
1075,Srinagar,34.089563,74.800344,437,876,143,The Income Tax Building in Srinagar,1813,1564,14,1,7,2005
1076,Srinagar,34.090285,74.800092,437,313,63,A stadium complex housing a military barracks in Srinagar,1813,1564,14,1,16,2005
1077,Anantnag district,33.733336,75.148983,1514,1538,447,Civilians in Anantnag and Baramulla (District),1813,1564,92,1,17,2005
1078,Sagolia,26.020721,89.974331,2036,1538,447,Civilians in Sagolia,2121,674,238,1,19,2005
1079,Karbu Anglong district,26.181451,93.699045,2036,1538,447,Civilians in Karbi Anglong (District),2121,674,238,1,19,2005
1080,Unknown,26.200604,92.937574,2036,47,14,An section of oil pipeline running through Sivasagar (District),2121,265,238,1,19,2005
1081,Unknown,26.200604,92.937574,2036,89,67,A telephone exchange facility in Golaghat (District),2121,674,238,1,19,2005
1082,Baramulla,34.213006,74.342618,2036,1538,189,"Rafiq Ahmed Dar, an Independent political candidate in Old Baramulla",2121,533,1414,1,21,2005
1083,Guwahati,26.179222,91.753346,2036,1538,447,Civilians in Ganeshguri area near the Disper capital complex in Guwahati,2121,533,238,1,24,2005
1084,Sumbal,34.230705,74.647311,2036,876,296,"Finance Minister of Jammu and Kashmir State, Muzaffar Hussain Baig",2121,533,1414,1,27,2005
1085,Pampore,34.016667,74.918056,2036,876,296,"Zahoor Ahmed Mir, a member of the Legislative Assembly",2121,533,1414,1,27,2005
1086,Srinagar,34.089563,74.800344,2036,130,88,The Government Girls High School campus in Srinagar,2121,533,1414,1,31,2005
1087,Nachala,33.778175,76.576171,2036,1538,80,A private residence in Nachala,2121,533,1414,1,31,2005
1088,Gainad,33.778175,76.576171,1514,786,171,A police patrol in Gainad,1813,1564,10,1,31,2005
1089,Nashla,33.165,75.503056,2036,1538,80,Family at home in Nashla,2121,533,1414,1,31,2005
1090,Budgam district,33.939181,74.63913,200,876,296,Unknown,1813,1564,1414,2,8,2005
1091,Unknown,15.317278,75.713888,2036,786,164,Karnataka State Police Reserve Camp,2121,674,1414,2,11,2005
1092,Shopian,33.717003,74.836092,2036,313,18,Jeep with Indian solidiers,2121,533,1414,2,13,2005
1093,Srinagar,34.090285,74.800092,1514,876,143,Government office building,1813,1564,14,2,24,2005
1094,Matribugh,33.778175,76.576171,1514,313,66,Members of the Rashtriya Rifles in Matribugh,1813,1564,88,3,1,2005
1095,Kulgam,33.644991,75.018031,200,876,315,"Ghulam Nabi Ganaie, a Peoples Democratic Party member and activist",1813,1564,100,3,7,2005
1096,Abhayapuri,26.330707,90.670231,2036,786,164,Abhayapuri Police Station,2121,674,238,3,9,2005
1097,Buti Bori,20.92498,79.007609,2036,47,7,A section of gas pipeline belonging to Oil India Ltd in Butibari,2121,674,238,3,9,2005
1098,Tinsukia,27.486273,95.356225,2036,368,205,Railroad tracks in Tinsukhia and Bongaigaon (District)s,2121,315,238,3,11,2005
1099,Guwahati,26.179222,91.753346,2036,876,296,Civilians in a crowded marketplace,2121,533,1414,3,11,2005
1100,Poonch,33.767001,74.092404,2036,417,221,Civilians in Poonch,2121,533,100,3,14,2005
1101,Dimapur district,25.906034,93.733909,2036,417,11,Hotel Ambarish,2121,533,1414,4,2,2005
1102,Dibrugarh,27.472718,94.912006,2036,786,433,"Central Reserve Unit Police Force in Dibrugarh, India",2121,674,1414,4,2,2005
1103,Unknown,33.778175,76.576171,437,368,29,The Srinagar and Muzaffarabad Transportation Center,1813,180,2,4,6,2005
1104,Singhpora,34.208589,74.418642,2036,368,74,Civilians on a bus in Singhpora,2121,533,1414,4,7,2005
1105,Rajouri,33.371715,74.315313,1514,102,75,A Lashkar-e Taiba commander,1813,1564,92,4,10,2005
1106,Sopore,34.286763,74.462401,200,876,296,"Sopore Municipal Councilor, Ghulam Nabi Changa",1813,1564,1414,4,12,2005
1107,Hari,33.690377,74.305955,1514,313,86,An Indian Army patrol near Hari- Bhudda,1813,1564,1414,4,12,2005
1108,Ashpur,34.327778,74.262778,2036,313,86,A BSF patrol in Ashpeer,2121,533,1414,4,20,2005
1109,Ongole,15.505646,80.047686,2036,786,433,"Superintendent of Police, Mahesh Chandra Laddha",2121,265,1546,4,28,2005
1110,Srinagar,34.109933,74.823547,1514,786,433,A Srinagar police officer,1813,1564,1414,4,28,2005
1111,Srinagar,34.089563,74.800344,1514,786,433,A Srinagar police officer,1813,1564,1414,4,28,2005
1112,Srinagar,34.089563,74.800344,1514,786,433,A Srinagar police officer,243,181,1414,4,28,2005
1113,Bijbehara,33.789271,75.099798,1514,876,296,Atiqullah Shah,1813,1564,14,5,1,2005
1114,Pulwama,33.871517,74.89955,2036,786,171,A Special Operations Group police vehicle in Pulwama,2121,533,1414,5,3,2005
1115,Pattan,34.16047,74.555116,1514,876,296,"Mian Ramzan, Pattan Municipal Committee Chairman",1813,180,1414,5,3,2005
1116,Matha,33.021389,75.139167,2036,1538,19,Unknown,2121,533,1414,5,4,2005
1117,Chakka,33.04915,75.628083,1514,1538,48,Civilian worshippers at mosque,1813,180,1414,5,10,2005
1118,Srinagar,34.083658,74.797368,2036,786,433,CRPF personnel in Srinagar,2121,75,2,5,11,2005
1119,Srinagar,34.083658,74.797368,2036,130,88,Students and teachers at a school in Srinagar,2121,533,1414,5,12,2005
1120,Srinagar,34.083658,74.797368,1514,1538,186,Abdul Gani Bhat,1813,1564,1414,5,14,2005
1121,Srinagar,34.083658,74.797368,2036,1538,19,Mourners attending the funeral of Abdul Gani Bhat in Srinagar,2121,533,1414,5,17,2005
1122,New Delhi,28.632381,77.220004,2036,417,12,Civilian moviegoers,2121,674,1414,5,22,2005
1123,New Delhi,28.632381,77.220004,2036,417,12,Civilian moviegoers,2121,674,1414,5,22,2005
1124,Guwahati,26.179222,91.753346,2036,786,433,Members of the Central Reserve Police Force,2121,80,238,5,23,2005
1125,Anantnag,33.733336,75.148983,2036,786,171,Convoy of members of the Central Reserve Police Force,2121,75,88,5,28,2005
1126,Kulgam,33.644581,75.018433,1514,876,315,People's Democratic Party worker Abdul Salam Dar at Tuli-Nowpora,1813,1564,1414,6,1,2005
1127,Srinagar,34.067049,74.767113,1514,786,433,Police Constable Abdul Majid Khan,1813,1564,1414,6,2,2005
1128,Srinagar,34.090436,74.803123,200,876,296,Municipal Councillor Mohammed Ashraf,1813,1564,1414,6,3,2005
1129,Tata Draman,33.250278,75.5025,1514,786,433,Indian police of the Tata Draman area of Doda (District),1813,1564,1414,6,11,2005
1130,Pulwama,33.871517,74.89955,2036,786,433,Central Reserve Police Force personnel,2121,75,1,6,13,2005
1131,Awantipora,33.926146,75.0158,2036,876,296,Abdul Rehman Veeri,2121,533,1414,6,16,2005
1132,Awantipora,33.926146,75.0158,2036,786,433,Policemen,2121,533,1414,6,17,2005
1133,Kotrapali,21.868269,83.483025,1514,1538,66,Indian Civilians,2121,265,1546,6,19,2005
1134,Dantewada,18.9,81.35,127,1538,447,Villagers and tribesmen.,371,403,34,6,21,2005
1135,Bijbehara,33.789271,75.099798,2036,1538,447,Civilians,2121,533,1414,6,22,2005
1136,Bijbehara,33.789271,75.099798,2036,876,315,"Minister of State for Home, Abdur Rehman Veeri",2121,533,88,6,28,2005
1137,Dardsun Kupwara,34.518228,74.126464,592,1538,186,Taja Ghulam Hassan Mir,1813,1564,1414,6,28,2005
1138,Udhampur district,32.925224,75.135264,1514,1538,447,Civilians,1813,1564,1414,6,30,2005
1139,Srinagar,34.069832,74.809039,2036,1538,447,Civilians,2121,533,14,6,30,2005
1140,Warangal,17.973356,79.59996,2036,876,143,Hospital where police transported rebel,2121,674,34,7,2,2005
1141,Sopore,34.297849,74.470955,2036,876,296,Congress President and Rural Development Minister Pirzada Mohammad Sayeed,2121,80,1414,7,3,2005
1142,Ayodhya,26.8,82.2,1514,66,35,Ayodhya Temple,2121,533,1414,7,5,2005
1143,Kupwara district,34.526179,74.254614,1514,313,86,Indian Military Convoy,1813,180,1414,7,5,2005
1144,Srinagar,34.069832,74.809039,200,876,296,Syed Bashir's,1813,1564,3,7,6,2005
1145,Unknown,33.778175,76.576171,1514,313,77,Indian Military Troops,1813,1564,1414,7,6,2005
1146,Tamparsingha,21.320179,84.260115,1514,1538,221,Unknown,1813,1564,383,7,7,2005
1147,Sopore,34.297849,74.470955,2036,313,66,Border Security Force (BSF),2121,533,1414,7,9,2005
1148,Imphal,24.817011,93.936844,2036,313,66,Rajbir Singh,2121,315,33,7,10,2005
1149,Udhampur district,32.925224,75.135264,1514,1538,186,Mohammad Akhtar,1813,1564,1414,7,19,2005
1150,Srinagar,34.073888,74.832243,2036,313,86,Indian military convoy,2121,75,88,7,20,2005
1151,Jaunpur,25.747333,82.68508,2036,368,205,The Delhi-bound Sharamjeevi Express (2391),2121,674,1414,7,28,2005
1152,Srinagar,34.074084,74.809273,1514,313,66,Indian Border Security Force (BSF) soldiers,1813,1564,14,7,29,2005
1153,Dub,32.850044,74.654682,1514,1538,48,"Hindus living the village of Dhoob, India",243,181,1414,7,29,2005
1154,Sanglow,33.778175,76.576171,1514,1538,186,"Aisha Bi, a woman living in Sanglow",1813,1564,1414,8,2,2005
1155,Nandihal,34.257778,74.368889,592,1538,186,"Isha Begum, a woman living in the Nandiyal area",1813,1564,1414,8,2,2005
1156,Unknown,33.778175,76.576171,1514,1538,15,Farmer Bashir Ahmad Wani in Maniwaz-Kakipora,1813,1564,1414,8,2,2005
1157,Sayiwan,34.532834,74.413723,592,1538,186,"Sain Gujjar, a resident of Sarwan",1813,1564,1414,8,2,2005
1158,Doda district,33.14575,75.548049,592,786,433,A policeman in Doda (District),371,403,1414,8,3,2005
1159,Rajouri district,33.371715,74.315313,592,313,77,An Indian Army soldier in Rajouri (District),243,181,1414,8,3,2005
1160,Guwahati,26.179222,91.753346,2036,1538,447,Civilians in Guwahati,2121,674,238,8,6,2005
1161,Guwahati,26.179222,91.753346,2036,1538,447,Civilians in Guwahati,2121,674,238,8,6,2005
1162,Tinsukia district,27.492191,95.346775,2036,368,43,A steel bridge in Tinsukia (District),2121,674,238,8,7,2005
1163,Tinsukia district,27.492191,95.346775,2036,368,43,A steel bridge in Tinsukia (District),2121,674,238,8,7,2005
1164,Boko,25.97796,91.235629,2036,1538,447,Civilians in Boko,2121,674,238,8,7,2005
1165,Sivasagar,26.980167,94.630267,2036,47,14,Oil India Limited pipeline in Sibasagar,2121,674,238,8,7,2005
1166,Unknown,26.200604,92.937574,2036,47,7,Assam Gas Company gas pipeline near Guwahati,2121,674,238,8,7,2005
1167,Duliajan,27.35766,95.32143,2036,47,14,Oil India Limited pipeline in Duliajan,2121,674,238,8,7,2005
1168,Narengi,26.180486,91.832849,2036,47,20,An Assam State Electricity Board (ASEB) power substation in Narengi,2121,674,238,8,7,2005
1169,Narengi,26.180486,91.832849,2036,47,20,An Assam State Electricity Board (ASEB) power substation in Narengi,2121,674,238,8,7,2005
1170,Narengi,26.180486,91.832849,2036,47,20,An Assam State Electricity Board (ASEB) power substation in Narengi,2121,674,238,8,7,2005
1171,Nagaon district,26.346371,92.684043,2036,368,205,Railway tracks between Lanka and Dhalpukhuri,2121,674,238,8,7,2005
1172,Jorhat,26.750085,94.219062,2036,130,88,A School in Jorat,2121,61,1414,8,8,2005
1173,Karimnagar,18.436781,79.129821,2036,368,29,A bus station in Karimnagar,2121,61,100,8,9,2005
1174,Tihu,26.474994,91.268866,2036,368,205,A section of track two kilometers outside of Tihu,2121,674,238,8,10,2005
1175,Dokmoka,26.208185,93.050267,2036,1538,447,Dokmoka civilians,2121,533,1,8,11,2005
1176,Sonari,27.027712,95.030176,2036,786,164,A police station in Sonari,2121,533,238,8,11,2005
1177,Chabilapur,27.205833,79.366389,2036,786,164,A police station in Chabilapur,2121,53,1546,8,12,2005
1178,Shajroo,33.296232,74.862409,1514,1538,447,Sajroo residents,1813,1564,1414,8,12,2005
1179,Doda district,33.14575,75.548049,592,1538,186,"Abdul Majeed, a suspected police informant",1813,1564,100,8,14,2005
1180,Patan,23.849325,72.126626,2036,1538,447,Patan civilians,2121,674,1414,8,15,2005
1181,Srinagar,34.069833,74.805049,2036,1538,66,Srinagar civilians,2121,674,1414,8,15,2005
1182,Unknown,16.690933,79.567945,1514,876,296,"Congressman, Narsi Reddy, and Narayanpet's Municipal Commissioner, Ram Mohan",1813,180,1546,8,15,2005
1183,Pulwama district,33.871517,74.89955,1514,1538,266,Contractor Ghulam Bhat,1813,1564,1414,8,18,2005
1184,Udhampur,32.925224,75.135264,1514,1538,266,Udhan Phera VDC member Mohammad Ishaak and his family,1813,1564,1414,8,22,2005
1185,Handwara,34.399616,74.281748,200,876,296,Forest Minister Ghulam Mohi-ud-Din Sofi,1813,180,1414,8,27,2005
1186,Pattan,34.16047,74.555116,2036,876,296,Irrigation Minister Qazi Afzal,2121,43,1414,8,30,2005
1187,Nalbari district,26.365586,91.327863,200,876,296,RSS leader Sukleswar Medhi,1813,1564,238,8,30,2005
1188,Bijapur district,18.791667,80.816667,2036,313,66,Indian paramilitary soldiers in a vehicle in Bijapur (District),2121,265,1546,9,4,2005
1189,Batpora,34.086149,74.515567,2036,102,75,Militants in the Indian Kashmiri state of Jammu and Kashmir,2121,533,1414,9,5,2005
1190,Dharmari,33.778175,76.576171,1514,1538,447,Villagers in a remote village in Jammu and Kashmir.,1813,1564,88,9,9,2005
1191,Srinagar,34.037833,74.812555,1514,313,86,"Soldiers in a convoy, south of Jammu and Kashmir summer capital, Srinagar.",1813,1564,100,9,9,2005
1192,Unknown,23.610181,85.279935,127,1538,447,Villagers in the eastern state of Jakharland.,371,403,34,9,12,2005
1193,Hazrapara,23.940848,91.988153,1514,1538,221,Unknown,1813,180,62,9,25,2005
1194,Srinagar,34.071047,74.802847,2036,417,221,Unknown,2121,533,1414,9,29,2005
1195,Kathua district,32.371698,75.522909,1514,313,63,The Indian Army headquarters in Kathua (District),1813,1564,1414,10,15,2005
1196,Unknown,26.275268,92.953375,1514,1538,447,Civilians in Charsing village,1813,1564,1414,10,17,2005
1197,Badrama,21.489294,84.276599,1514,786,433,Police stationed in Badrama village.,1813,1564,383,10,17,2005
1198,Pampore,34.016667,74.918056,1514,786,433,A police party in Pampore,1813,1564,1414,10,19,2005
1199,Anantnag district,33.733336,75.148983,1514,1538,25,A civilian in Anantnag (District),1813,1564,1414,10,20,2005
1200,Wadwan,34.077905,74.678018,1514,313,63,An Army post in Wadwal,1813,1564,1414,10,22,2005
1201,Srinagar,34.068705,74.778637,2036,1538,447,Civilians in the neighborhoods of Batamalu and Balgarden in Srinagar,2121,533,1414,10,22,2005
1202,Zainakote,33.778175,76.576171,2036,313,18,Border guards on a bus near Zainakote,2121,674,1414,10,26,2005
1203,New Delhi,28.632381,77.220004,2036,1538,78,Civilians at the Paharganj market in New Delhi,2121,674,3,10,29,2005
1204,New Delhi,28.632381,77.220004,2036,1538,447,Civilians in the Sarojini Nagar market in New Delhi,2121,674,3,10,29,2005
1205,New Delhi,28.632381,77.220004,2036,368,74,Civilians on a Transport Corporation Bus in the Govindpuri area of New Delhi,2121,61,3,10,29,2005
1206,Srinagar,34.067275,74.765379,2036,1538,66,Srinagar civilians,2121,75,18,11,2,2005
1207,Srinagar,34.090705,74.786894,1514,786,164,A CRPF compound in Srinagar,1813,1564,3,11,14,2005
1208,Tangmang,34.05998,74.424533,2036,1538,7,Civilians attending a political rally in Tangmarg,2121,533,1414,11,15,2005
1209,Srinagar,34.070417,74.809304,2036,417,10,A Jammu-Kashmir Bank branch in Srinagar,2121,75,4,11,16,2005
1210,Srinagar,34.08599,74.797885,1514,786,164,A CRPF training camp in Srinagar,1813,180,1414,11,23,2005
1211,Baramulla,34.19905,74.34995,200,876,315,"Indian Politician and member of the People's Democratic Party, Shaukat Bandey",1813,1564,1414,12,16,2005
1212,Unknown,16.690933,79.567945,1514,368,205,Indian train in Andhra Pradesh,1813,1564,383,12,25,2005
1213,Bangalore,12.971599,77.594563,1514,130,88,Indian Institute of Technology,1813,180,100,12,28,2005
1214,Tarigam,33.707938,75.035489,200,86,73,Nephew of Leader,1813,1564,1414,1,16,2006
1215,Guwahati,26.179222,91.753346,2036,876,143,Guwahati oil refinery,2121,674,238,1,20,2006
1216,Unknown,26.198202,92.891135,2036,47,221,"Gas, oil and power installations",2121,674,238,1,20,2006
1217,North Lakhimpur district,27.241673,94.105576,2036,47,20,Power transformer,2121,674,238,1,21,2006
1218,North Lakhimpur district,27.241673,94.105576,2036,47,20,Power facility,2121,674,238,1,21,2006
1219,Unknown,26.198202,92.891135,2036,47,14,Crude oil pipeline,2121,674,238,1,21,2006
1220,Sivasagar district,26.980463,94.629914,2036,47,7,Gas pipeline,2121,674,238,1,21,2006
1221,Unknown,26.198202,92.891135,2036,47,221,"Gas, oil and power installations",2121,674,238,1,21,2006
1222,Bokulani,27.359651,95.411996,2036,47,7,Gas pipeline,2121,674,238,1,22,2006
1223,Guwahati,26.179222,91.753346,2036,368,74,Bus,2121,674,238,1,22,2006
1224,Unknown,26.198202,92.891135,2036,47,221,"Gas, oil and power installations",2121,674,238,1,22,2006
1225,Purulia,23.332078,86.365208,2036,876,143,Guest house,2121,674,1546,1,23,2006
1226,Unknown,26.198202,92.891135,2036,47,221,"Gas, oil and power installations",2121,674,238,1,23,2006
1227,Unknown,26.198202,92.891135,2036,47,221,"Gas, oil and power installations",2121,674,238,1,24,2006
1228,Unknown,25.090798,85.311177,2036,368,205,"Railway tracks, railway stations and roads",2121,674,34,1,25,2006
1229,Unknown,23.610181,85.279935,2036,368,205,"Railway tracks, railway stations and roads",2121,674,34,1,25,2006
1230,Gangalur,18.7554,81.028554,1514,876,143,Relief camp,1813,1564,34,1,30,2006
1231,Bastar district,19.203677,81.934386,592,1538,447,"Civilians in Bastar (District), India",1813,1564,1546,2,2,2006
1232,Karampada,22.065576,85.227477,2036,368,205,"Karampeda railway station in West Singhbhum, India",2121,674,1546,2,6,2006
1233,Jashpur district,22.88742,84.138237,1514,786,164,"Police station in Jashpur (District), India",1813,1564,1546,2,6,2006
1234,Imphal,24.817011,93.936844,1514,25,21,Ratan Luwang,1813,1564,30,2,9,2006
1235,Hiroli,19.010609,81.447125,1514,876,143,National Mineral Development Corporation depot at Hiroli,1813,1564,1546,2,9,2006
1236,Odsa,19.004787,81.097725,127,1538,447,"Civilians in Odsa village, Dantewada (District), India",371,403,1546,2,10,2006
1237,Allahabad,25.435801,81.846311,1514,1538,48,Sant Gyaneshwar,1813,180,1414,2,10,2006
1238,Bahadurpara,23.949722,92.084167,1514,47,7,GAIL employees,1813,180,62,2,14,2006
1239,Sopore,34.286763,74.462401,2036,786,433,"Indian security forces in Sopore, India",2121,533,1414,2,14,2006
1240,Cherli,18.845076,81.159249,1514,1538,266,"Civilians accused of aiding the police in Cherli, India",1813,1564,1546,2,14,2006
